x-axis,1,2,3
second,Volt,Volt,Volt
-37.95000E-03,-16.49497E-03,+84.42211246E+00,+7.73869353E+00
-37.90000E-03,-11.46984E-03,+84.42211246E+00,+7.73869353E+00
-37.85000E-03,-12.97738E-03,+85.92965019E+00,+7.43718599E+00
-37.80000E-03,-13.98241E-03,+84.42211246E+00,+7.73869353E+00
-37.75000E-03,-12.47487E-03,+84.92462504E+00,+7.63819101E+00
-37.70000E-03,-12.97738E-03,+86.43216276E+00,+7.73869353E+00
-37.65000E-03,-10.46482E-03,+86.43216276E+00,+8.04020107E+00
-37.60000E-03,-11.46984E-03,+85.92965019E+00,+7.63819101E+00
-37.55000E-03,-13.98241E-03,+86.43216276E+00,+8.24120609E+00
-37.50000E-03,-12.97738E-03,+86.43216276E+00,+7.93969855E+00
-37.45000E-03,-10.46482E-03,+86.43216276E+00,+7.73869353E+00
-37.40000E-03,-12.47487E-03,+86.43216276E+00,+8.04020107E+00
-37.35000E-03,-10.46482E-03,+87.93970048E+00,+8.44221112E+00
-37.30000E-03,-12.47487E-03,+85.92965019E+00,+8.44221112E+00
-37.25000E-03,-11.46984E-03,+86.43216276E+00,+8.34170861E+00
-37.20000E-03,-9.45979E-03,+84.92462504E+00,+8.14070358E+00
-37.15000E-03,-10.46482E-03,+87.43718791E+00,+8.54271363E+00
-37.10000E-03,-11.97236E-03,+84.92462504E+00,+8.44221112E+00
-37.05000E-03,-9.96231E-03,+87.93970048E+00,+8.44221112E+00
-37.00000E-03,-9.96231E-03,+86.43216276E+00,+8.54271363E+00
-36.95000E-03,-10.46482E-03,+85.92965019E+00,+8.34170861E+00
-36.90000E-03,-10.96733E-03,+84.92462504E+00,+8.34170861E+00
-36.85000E-03,-9.45979E-03,+85.92965019E+00,+8.64321615E+00
-36.80000E-03,-11.97236E-03,+86.43216276E+00,+8.44221112E+00
-36.75000E-03,-11.97236E-03,+86.43216276E+00,+8.74371866E+00
-36.70000E-03,-13.98241E-03,+84.92462504E+00,+8.84422117E+00
-36.65000E-03,-11.97236E-03,+86.43216276E+00,+8.54271363E+00
-36.60000E-03,-13.47990E-03,+86.43216276E+00,+8.94472369E+00
-36.55000E-03,-9.45979E-03,+84.92462504E+00,+9.14572871E+00
-36.50000E-03,-10.96733E-03,+86.43216276E+00,+8.84422117E+00
-36.45000E-03,-9.96231E-03,+86.43216276E+00,+8.74371866E+00
-36.40000E-03,-9.96231E-03,+85.92965019E+00,+8.84422117E+00
-36.35000E-03,-10.46482E-03,+86.43216276E+00,+8.84422117E+00
-36.30000E-03,-7.95226E-03,+84.42211246E+00,+8.94472369E+00
-36.25000E-03,-9.45979E-03,+84.42211246E+00,+8.54271363E+00
-36.20000E-03,-8.95728E-03,+86.43216276E+00,+9.14572871E+00
-36.15000E-03,-10.46482E-03,+84.92462504E+00,+9.54773877E+00
-36.10000E-03,-10.46482E-03,+86.43216276E+00,+9.24623123E+00
-36.05000E-03,-9.96231E-03,+84.42211246E+00,+9.54773877E+00
-36.00000E-03,-8.95728E-03,+86.43216276E+00,+9.14572871E+00
-35.95000E-03,-10.46482E-03,+85.92965019E+00,+9.64824128E+00
-35.90000E-03,-9.96231E-03,+85.92965019E+00,+9.54773877E+00
-35.85000E-03,-11.46984E-03,+86.93467534E+00,+9.24623123E+00
-35.80000E-03,-6.94723E-03,+85.92965019E+00,+9.34673374E+00
-35.75000E-03,-6.94723E-03,+84.92462504E+00,+9.54773877E+00
-35.70000E-03,-6.44472E-03,+84.92462504E+00,+9.64824128E+00
-35.65000E-03,-7.95226E-03,+87.43718791E+00,+9.34673374E+00
-35.60000E-03,-6.44472E-03,+86.43216276E+00,+9.34673374E+00
-35.55000E-03,-5.94221E-03,+86.43216276E+00,+9.54773877E+00
-35.50000E-03,-7.44974E-03,+85.92965019E+00,+9.44723625E+00
-35.45000E-03,-6.94723E-03,+84.92462504E+00,+9.64824128E+00
-35.40000E-03,-6.44472E-03,+86.43216276E+00,+9.74874379E+00
-35.35000E-03,-4.43467E-03,+86.43216276E+00,+9.74874379E+00
-35.30000E-03,-5.94221E-03,+84.92462504E+00,+9.74874379E+00
-35.25000E-03,-6.94723E-03,+84.42211246E+00,+10.45226139E+00
-35.20000E-03,-3.42964E-03,+85.92965019E+00,+9.74874379E+00
-35.15000E-03,-414.57E-06,+86.43216276E+00,+10.05025133E+00
-35.10000E-03,-2.42462E-03,+83.41708732E+00,+9.84924631E+00
-35.05000E-03,-1.41959E-03,+86.43216276E+00,+10.15075385E+00
-35.00000E-03,+1.09297E-03,+86.43216276E+00,+10.05025133E+00
-34.95000E-03,+3.10302E-03,+85.92965019E+00,+9.94974882E+00
-34.90000E-03,+9.63568E-03,+84.92462504E+00,+9.74874379E+00
-34.85000E-03,+13.65578E-03,+84.92462504E+00,+9.84924631E+00
-34.80000E-03,+19.18342E-03,+84.42211246E+00,+9.74874379E+00
-34.75000E-03,+23.20352E-03,+85.92965019E+00,+10.05025133E+00
-34.70000E-03,+25.21357E-03,+86.43216276E+00,+10.35175888E+00
-34.65000E-03,+28.22865E-03,+85.92965019E+00,+10.15075385E+00
-34.60000E-03,+26.72111E-03,+86.43216276E+00,+10.15075385E+00
-34.55000E-03,+30.23870E-03,+84.92462504E+00,+10.45226139E+00
-34.50000E-03,+35.76634E-03,+84.92462504E+00,+10.75376893E+00
-34.45000E-03,+45.31407E-03,+84.42211246E+00,+10.25125636E+00
-34.40000E-03,+56.36935E-03,+84.92462504E+00,+10.35175888E+00
-34.35000E-03,+73.45478E-03,+84.42211246E+00,+10.85427144E+00
-34.30000E-03,+96.57035E-03,+86.43216276E+00,+10.45226139E+00
-34.25000E-03,+131.74623E-03,+85.92965019E+00,+10.45226139E+00
-34.20000E-03,+176.46985E-03,+86.43216276E+00,+10.55276390E+00
-34.15000E-03,+212.14824E-03,+84.92462504E+00,+10.75376893E+00
-34.10000E-03,+195.06282E-03,+87.93970048E+00,+10.85427144E+00
-34.05000E-03,+146.31910E-03,+85.92965019E+00,+10.55276390E+00
-34.00000E-03,+94.56030E-03,+84.42211246E+00,+10.65326641E+00
-33.95000E-03,+61.39448E-03,+86.43216276E+00,+11.15577898E+00
-33.90000E-03,+37.77639E-03,+85.92965019E+00,+10.75376893E+00
-33.85000E-03,+25.71608E-03,+84.92462504E+00,+10.85427144E+00
-33.80000E-03,+18.17840E-03,+84.42211246E+00,+11.05527647E+00
-33.75000E-03,+12.65076E-03,+86.93467534E+00,+11.15577898E+00
-33.70000E-03,+7.62563E-03,+84.92462504E+00,+11.25628150E+00
-33.65000E-03,+2.09799E-03,+85.92965019E+00,+10.65326641E+00
-33.60000E-03,+87.94E-06,+86.43216276E+00,+11.35678401E+00
-33.55000E-03,+87.94E-06,+85.92965019E+00,+11.65829155E+00
